Rank,Mountain,Height,Drop,lat,lon,Range,Region,Country,Firstascent
484,Patteriol,3056,465,47°02′39″N,10°11′15″E,II/A-15.VI-C,North Tyrol,AT,1860
485,Aiguille des Corneillets,3055,325,45°19′21″N,06°39′41″E,I/B-07.II-E,Savoy,FR,
486,Piz Forun,3052,458,46°39′19″N,09°51′54″E,II/A-15.II-B,Graubünden,CH,1847
487,Grand Muveran,3051,1013,46°14′14″N,07°07′34″E,I/B-12.III-A,Valais/Vaud,CH,
488,Mont Pelat,3051,770,44°15′54″N,06°42′21″E,I/A-02.I-E,A-d-H-Provence,FR,
489,Pizzo Coca,3050,1878,46°04′18″N,10°00′41″E,II/C-29.I-A,Bergamo/Sondrio,IT,1877
490,Piz Minor,3049,584,46°27′04″N,10°01′42″E,II/A-15.IV-A,Graubünden,CH,
491,Gross Lohner,3049,560,46°27′43″N,07°36′00″E,I/B-12.II-F,Bern,CH,1875
492,Le Rochail (Pointe de Malhaubert),3049,558,44°58′31″N,06°01′57″E,I/A-05.III-E,Isère,FR,
493,Aiguille du Fruit (fr),3048,519,45°21′20″N,06°37′53″E,I/B-07.II-E,Savoy,FR,
494,Grand Bérard (fr),3046,938,44°26′58″N,06°39′35″E,I/A-04.I-B,A-d-H-Provence,FR,1820
495,Grand Argentier / Punta Nera (it),3046,505,45°07′20″N,06°39′31″E,I/A-04.III-B,Savoy/Turin,FR/IT,
496,Piz Murtera,3044,449,46°46′31″N,10°02′25″E,II/A-15.VI-A,Graubünden,CH,
497,Gross Wendenstock,3042,346,46°45′42″N,08°22′49″E,I/B-12.I-B,Bern,CH,1873
498,Monte Albergian,3041,428,45°00′27″N,06°59′34″E,I/A-04.II-A,Turin,IT,1822
499,Piz Gannaretsch,3040,934,46°36′43″N,08°47′12″E,I/B-10.I-B,Graubünden,CH,
500,Alperschällihorn,3039,425,46°35′12″N,09°18′24″E,I/B-10.III-C,Graub./Ticino,CH,1893
501,Punta Scais[Note 14],3039,393,46°04′07″N,09°59′04″E,II/C-29.I-A,Bergamo/Sondrio,IT,1881
502,Bric Ghinivert,3037,347,44°57′05″N,06°59′28″E,I/A-04.II-A,Turin,IT,
503,Parseierspitze,3036,1243,47°10′28″N,10°28′42″E,II/B-21.I-A,North Tyrol,AT,1869
504,Hexenkopf,3035,371,47°01′16″N,10°28′10″E,II/A-15.VI-B,North Tyrol,AT,1853
505,Tête de Siguret (fr),3032,706,44°26′30″N,06°47′18″E,I/A-02.I-C,A-d-H-Provence,FR,
506,Pizzo Ligoncio,3032,506,46°14′20″N,09°32′52″E,II/A-15.III-B,Sondrio,IT,
507,Becca di Vlou,3032,483,45°41′30″N,07°47′32″E,I/B-09.III-B,Aosta Valley,IT,
508,Piz S-chalembert,3031,722,46°48′03″N,10°24′48″E,II/A-15.V-B,Graubünden,CH,
509,Mont Ténibre / M. Tenibres (it),3031,525,44°17′02″N,06°58′20″E,I/A-02.I-C,A-Marit/Cuneo,FR/IT,1836
510,Piz Por,3028,733,46°30′34″N,09°23′03″E,II/A-15.I-A,Graubünden,CH,1894
511,Bündner Vorab,3028,408,46°52′26″N,09°09′24″E,I/B-13.II-B,Glarus/Graub.,CH,1842
512,Corno di Ban,3028,311,46°25′04″N,08°21′40″E,I/B-10.I-A,V-C-O,IT,
513,Zehner/Sas dales Diesc,3026,493,46°37′20″N,11°57′38″E,II/C-31.I-C,South Tyrol,IT,1887
514,Bric Rosso / Monte Politri,3026,313,44°59′28″N,07°01′07″E,I/A-04.II-A,Turin,IT,
515,Sas Rigais[Note 15],3025,904,46°36′33″N,11°46′00″E,II/C-31.III-A,South Tyrol,IT,1878
515,Furchetta / Furcheta [Note 15],3025,904,46°36′44″N,11°46′24″E,II/C-31.III-A,South Tyrol,IT,1878
517,Piz Corbet,3025,672,46°22′47″N,09°16′49″E,I/B-10.III-D,Graub./Sondrio,CH/IT,1892
518,Corno Bussola / M de Boussolaz (it),3024,356,45°47′44″N,07°44′10″E,I/B-09.III-B,Aosta Valley,IT,
519,Wendenhorn,3023,311,46°45′14″N,08°26′37″E,I/B-12.I-B,Bern/Uri,CH,1884
520,Wurmaulspitze,3022,414,46°54′50″N,11°38′16″E,II/A-17.I-C,South Tyrol,IT,
521,Pointe de la Vallaisonnay,3020,400,45°27′29″N,06°49′04″E,I/B-07.II-B,Savoy,FR,
522,Pic du Mas de la Grave (it),3020,364,45°07′15″N,06°14′46″E,I/A-05.I-A,H-Alpes/Savoy,FR,
523,Mount Cimet,3020,342,44°17′24″N,06°42′18″E,I/A-02.I-E,A-d-H-Provence,FR,
524,Viso Mozzo (it),3019,361,44°40′29″N,07°06′36″E,I/A-04.I-C,Cuneo,IT,
525,Piz Blas,3019,312,46°34′38″N,08°43′41″E,I/B-10.I-B,Graub./Ticino,CH,1871
526,Gamspleisspitze,3015,328,46°55′54″N,10°14′31″E,II/A-15.VI-A,N-Tyrol/Graub.,AT/CH,1853
527,Hochreichkopf,3010,367,47°10′13″N,10°58′11″E,II/A-16.II-B,North Tyrol,AT,1890
528,Cima dell'Uomo,3010,327,46°24′22″N,11°48′30″E,II/C-31.III-B,Trentino,IT,
529,Monte Giove (it),3009,516,46°21′41″N,08°23′17″E,I/B-10.I-A,V-C-O,IT,
530,Acherkogel[Note 16],3008,365,47°11′21″N,10°57′24″E,II/A-16.II-B,North Tyrol,AT,1881
531,Älplihorn,3006,426,46°42′39″N,09°49′33″E,II/A-15.II-B,Graubünden,CH,
532,Monte Avic,3006,392,45°40′37″N,07°33′17″E,I/B-07.IV-C,Aosta Valley,IT,
533,Ritterkopf,3006,349,47°06′09″N,12°56′58″E,II/A-17.II-E,Salzburg,AT,1885
534,Furgler,3004,319,47°02′25″N,10°30′44″E,II/A-15.VI-B,North Tyrol,AT,
535,Kesselkogel / Catinaccio d'Antermoia,3002,814,46°28′28″N,11°38′37″E,II/C-31.III-B,S-Tyrol/Trentino,IT,1872
536,Pizzas d'Anarosa / Grauhörner,3002,366,46°35′56″N,09°18′57″E,I/B-10.III-C,Graub./Ticino,CH,1894
537,Gigalitz,3001,300,47°03′28″N,11°53′28″E,II/A-17.I-B,North Tyrol,AT,1884
538,Große Zinne/Cima Grande di Lavaredo,2999,545,46°37′08″N,12°18′10″E,II/C-31.I-A,Belluno/S-Tyrol,IT,1869
539,Pizzo Centrale,2999,451,46°34′41″N,08°36′54″E,I/B-10.I-B,Ticino/Uri,CH,
540,Cima Falkner (it),2999,343,46°11′36″N,10°54′17″E,II/C-28.IV-A,Trentino,IT,1882
541,Piz Beverin,2998,396,46°39′09″N,09°21′28″E,I/B-10.III-C,Graubünden,CH,1707
542,Bric Bouchet /Bric Bucie (it),2997,338,44°49′19″N,07°01′26″E,I/A-04.II-A,H-Alpes/Turin,FR/IT,1876
543,Hoher Dachstein,2995,2136,47°28′31″N,13°36′20″E,II/B-25.I-B,Styria/U-Austria,AT,1832
544,Roignais,2995,1028,45°38′35″N,06°41′20″E,I/B-07.VI-A,Savoy,FR,
545,Rote Säule (Tauern),2994,304,47°08′48″N,12°26′38″E,II/A-17.II-A,E-Tyrol/Salzburg,AT,1865
546,Le Mourre Froid,2993,411,44°38′18″N,06°24′01″E,I/A-05.III-C,Hautes-Alpes,FR,
547,Grand Parpaillon (it),2990,335,44°29′38″N,06°39′07″E,I/A-04.I-B,A-d-H-Provence,FR,
548,Mittler Fanis / Fanis di Mezzo,2989,658,46°33′05″N,12°00′51″E,II/C-31.I-C,Belluno/S-Tyrol,IT,1898
549,Felber Tauernkogel,2988,377,47°09′28″N,12°29′02″E,II/A-17.II-A,E-Tyrol/Salzburg,AT,1854
550,Piz de la Lumbreida,2983,564,46°28′52″N,09°13′31″E,I/B-10.III-D,Graubünden,CH,
551,Cima Bagni,2983,455,46°36′55″N,12°24′37″E,II/C-31.I-A,Belluno,IT,
552,Pala di San Martino (it),2982,410,46°15′13″N,11°51′03″E,II/C-31.IV-A,Trentino,IT,1878
553,Rosengartenspitze/Cima Catinaccio,2981,425,46°27′17″N,11°37′15″E,II/C-31.III-B,S-Tyrol/Trentino,IT,1874
554,Aroser Rothorn,2980,1349,46°44′16″N,09°36′50″E,II/A-15.VII-B,Graubünden,CH,
555,Ròthòre / Corno Rosso,2979,499,45°46′01″N,07°52′49″E,I/B-09.III-C,Aosta/Vercelli,IT,
556,La Tsavre,2978,305,45°54′56″N,07°07′46″E,I/B-09.I-A,Valais,CH,
557,Grand Pic de Belledonne,2977,1053,45°10′15″N,05°59′30″E,I/A-05.II-B,Isère,FR,1859
558,Pic de Colle Blanche,2975,335,44°45′12″N,06°10′21″E,I/A-05.V-A,Hautes-Alpes,FR,
559,Monte Redival,2973,356,46°18′31″N,10°36′51″E,II/C-28.I-A,Trentino,IT,1878
560,Cima Ovest/Westliche Zinne,2973,306,46°37′07″N,12°17′50″E,II/C-31.I-A,Belluno/S-Tyrol,IT,1879
561,Piz Curvér,2972,456,46°36′12″N,09°29′50″E,II/A-15.I-B,Graubünden,CH,1843
562,Wildgrat,2971,461,47°08′26″N,10°49′36″E,II/A-16.I-C,North Tyrol,AT,
563,Tsaat a l'Etsena/Chateleysine,2971,326,45°48′05″N,07°24′00″E,I/B-09.II-B,Aosta Valley,IT,
564,Schilthorn,2970,358,46°33′27″N,07°50′05″E,I/B-14.II-B,Bern,CH,
565,Haut de Cry,2969,525,46°14′25″N,07°11′42″E,I/B-12.III-A,Valais,CH,
566,Grieshorn,2969,509,46°27′05″N,08°23′35″E,I/B-10.I-A,Ticino/V-C-O,CH/IT,
567,Dent de Morcles,2969,465,46°11′57″N,07°04′32″E,I/B-12.III-A,Valais,CH,1787
568,Piz Daint,2968,734,46°37′07″N,10°17′27″E,II/A-15.V-A,Graubünden,CH,
569,Neuner / Sas dles Nü,2968,301,46°37′49″N,11°58′52″E,II/C-31.I-C,South Tyrol,IT,
570,Serottini,2967,425,46°17′27″N,10°20′52″E,II/C-28.I-B,Brescia/Sondrio,IT,
571,Schober,2967,380,47°02′04″N,13°28′06″E,II/A-17.II-F,Carinthia,AT,
572,Haunold,2966,677,46°41′19″N,12°16′39″E,II/C-31.I-A,South Tyrol,IT,1878
573,Schesaplana,2965,828,47°03′13″N,09°42′27″E,II/A-15.VIII-A,Vorarlb/Graub.,AT/CH,1735
574,Aiguille du Belvédère,2965,505,45°59′16″N,06°52′25″E,I/B-08.II-A,Upper Savoy,FR,
575,Reißeck,2965,300,46°56′50″N,13°21′52″E,II/A-17.II-F,Carinthia,AT,
576,Monte Tagliaferro,2964,640,45°52′21″N,07°58′15″E,I/B-09.III-C,Vercelli,IT,
577,Piz Turettas,2963,400,46°35′13″N,10°20′05″E,II/A-15.V-A,Graubünden,CH,
578,Pizzo Lucendro,2963,350,46°32′20″N,08°31′10″E,I/B-10.I-B,Ticino/Uri,CH,1871
579,Zugspitze,2962,1746,47°25′16″N,10°59′07″E,II/B-21.III-B,N-Tyrol/Bavaria,AT/DE,1820
580,Weiße Spitze,2962,910,46°52′19″N,12°21′28″E,II/A-17.III-B,East Tyrol,AT,1894
581,Rienzenstock,2962,479,46°40′59″N,08°38′06″E,I/B-13.I-A,Uri,CH,
582,Marchhorn/Pta del Termine,2962,327,46°26′55″N,08°27′45″E,I/B-10.II-A,Ticino/V-C-O,CH/IT,
583,Tête de l'Estrop,2961,712,44°17′12″N,06°30′21″E,I/A-03.1-A,A-d-H-Provence,FR,
584,Cima Brenta Alta (de),2961,341,46°09′37″N,10°53′47″E,II/C-28.IV-A,Trentino,IT,1880
585,Piz Lagalb,2959,524,46°25′54″N,10°01′25″E,II/A-15.IV-A,Graubünden,CH,
586,Cima Giner,2957,340,46°14′14″N,10°43′57″E,II/C-28.III-B,Trentino,IT,
587,Piz Miez,2956,445,46°39′17″N,08°55′00″E,I/B-10.III-A,Graubünden,CH,
588,Tête de L'Enchastraye/Enciastraia,2954,310,44°22′03″N,06°53′18″E,I/A-02.I-C,AdHP/Cuneo,FR/IT,
589,Torent / Torrone Alto,2952,835,46°20′37″N,09°04′16″E,I/B-10.III-B,Graub./Ticino,CH,1882
590,Brunnistock,2952,661,46°50′52″N,08°33′00″E,I/B-12.I-B,Uri,CH,
591,Crasta Mora,2952,486,46°34′17″N,09°52′05″E,II/A-15.II-A,Graubünden,CH,
592,Bättlihorn,2951,388,46°19′57″N,08°05′38″E,I/B-10.I-A,Valais,CH,
593,Corni di Nefelgiú,2951,368,46°23′44″N,08°22′46″E,I/B-10.I-A,V-C-O,IT,
594,Crête de Lacha,2950,425,45°05′50″N,06°27′34″E,I/A-04.III-A,Savoy,FR,
595,Asta Soprana (it),2950,424,44°12′12″N,07°18′48″E,I/A-02.I-B,Cuneo,IT,
596,Piz Tomül / Wissensteinhorn,2946,534,46°37′24″N,09°13′42″E,I/B-10.III-C,Graubünden,CH,1807
597,Piz Cavel,2946,518,46°39′21″N,09°01′11″E,I/B-10.III-A,Graubünden,CH,
598,Einshorn,2944,571,46°30′58″N,09°13′49″E,I/B-10.III-D,Graubünden,CH,
599,Gölbner (pl),2943,382,46°49′27″N,12°30′18″E,II/A-17.III-B,East Tyrol,AT,
600,Hochkönig,2941,2181,47°25′13″N,13°03′45″E,II/B-24.III-A,Salzburg,AT,1826
601,Cime de la Condamine,2940,515,44°53′33″N,06°31′11″E,I/A-05.III-A,Hautes-Alpes,FR,
602,Gross Schinhorn/Punta di Valdeserta,2939,465,46°21′40″N,08°15′39″E,I/B-10.I-A,Valais/V-C-O,CH/IT,
603,Pointe de la Louïe Blanche,2939,372,45°39′40″N,06°54′53″E,I/B-07.III-B,Savoy/Aosta,FR/IT,
604,Pizzo del Ramulazz S,2939,324,46°23′48″N,09°05′34″E,I/B-10.III-B,Graub./Ticino,CH,
605,Pic de Chabrières [Note 6],2938,435,44°34′14″N,06°37′25″E,I/A-04.I-B,A-d-H-Provence,FR,
606,Mont Malinvern / Testa Malinvern (it),2938,403,44°11′56″N,07°11′22″E,I/A-02.I-B,A-Marit/Cuneo,FR/IT,1878
607,Cime di Plator,2937,654,46°30′54″N,10°16′14″E,II/A-15.IV-A,Sondrio,IT,
608,Pietra Grande (de),2937,496,46°13′53″N,10°53′45″E,II/C-28.IV-A,Trentino,IT,1883
609,Monte Gruf (lmo),2936,446,46°17′10″N,09°30′21″E,II/A-15.III-B,Sondrio,IT,
610,Cimon del Froppa,2932,677,46°30′26″N,12°20′26″E,II/C-31.I-E,Belluno,IT,1872
611,Monte Pettini,2932,640,46°32′10″N,10°13′39″E,II/A-15.IV-B,Sondrio,IT,
612,Bärenhorn,2929,449,46°34′32″N,09°13′55″E,I/B-10.III-C,Graubünden,CH,
613,Tête du Pelvas/Monte Palavas (it),2929,400,44°47′24″N,06°59′59″E,I/A-04.II-A,H-Alpes/Turin,FR/IT,
614,Rosställispitz,2929,368,46°47′21″N,09°59′37″E,II/A-15.VI-A,Graubünden,CH,
615,Schwarzhorn,2928,966,46°41′10″N,08°04′32″E,I/B-14.II-B,Bern,CH,
616,Rocher Blanc (fr),2928,939,45°14′30″N,06°06′26″E,I/A-05.II-A,Isère,FR,
617,Badus / Six Madun,2928,529,46°37′21″N,08°39′49″E,I/B-10.I-B,Graubünden/Uri,CH,1785
618,Tête des Lauzières,2928,339,44°52′27″N,06°31′42″E,I/A-05.III-A,Hautes-Alpes,FR,
619,Eggishorn,2927,563,46°25′53″N,08°05′39″E,I/B-12.II-B,Valais,CH,
620,Cima Bastioni Sud,2926,554,46°29′07″N,12°16′04″E,II/C-31.I-E,Belluno,IT,1890
621,Pizzo del Diavolo della Malgina,2926,330,46°05′05″N,10°02′48″E,II/C-29.I-A,Bergamo/Sondrio,IT,
622,Edlenkopf,2923,441,47°08′11″N,12°55′35″E,II/A-17.II-E,Salzburg,AT,
623,Mährenhorn,2923,355,46°41′30″N,08°18′39″E,I/B-12.I-A,Bern,CH,
624,Birkenkofel,2922,385,46°40′51″N,12°15′24″E,II/C-31.I-A,South Tyrol,IT,1880
625,Monte Ruvi,2922,333,45°41′21″N,07°33′52″E,I/B-07.IV-C,Aosta Valley,IT,
626,Hochgasser,2922,311,47°09′02″N,12°31′19″E,II/A-17.II-B,E-Tyrol/Salzburg,AT,
627,Monte Ciorneva,2918,483,45°16′06″N,07°15′37″E,I/B-07.I-C,Turin,IT,
628,Mulleter Seichenkopf,2918,389,46°54′55″N,12°49′53″E,II/A-17.II-D,Carinthia/E-Tyrol,AT,1890
629,Corno di Flavona,2918,305,46°14′44″N,10°53′49″E,II/C-28.IV-A,Trentino,IT,1881
630,Cima Bel Pra,2917,431,46°29′04″N,12°14′28″E,II/C-31.I-E,Belluno,IT,1880
631,Dent Favre,2917,315,46°12′37″N,07°06′14″E,I/B-12.III-A,Valais/Vaud,CH,
632,Pizzo del Diavolo di Tenda,2916,506,46°02′43″N,09°54′29″E,II/C-29.I-A,Bergamo/Sondrio,IT,1870
633,Pointe Côte de l'Âne (fr),2916,472,44°14′40″N,06°48′17″E,I/A-02.I-D,Alpes Maritimes,FR,
634,Maresenspitz,2916,324,47°00′15″N,13°13′49″E,II/A-17.II-F,Carinthia,AT,
635,L'Aupillon,2916,303,44°26′56″N,06°34′43″E,I/A-04.I-B,A-d-H-Provence,FR,
636,Glärnisch,2915,967,46°59′42″N,08°59′43″E,I/B-13.I-B,Glarus,CH,
637,Pflunspitze,2912,977,47°04′46″N,10°07′58″E,II/A-15.VI-C,N-Tyrol/Vorarlb.,AT,1886
638,Cristallina,2912,344,46°27′53″N,08°32′13″E,I/B-10.II-A,Ticino,CH,
639,Beco Alto del Piz,2912,312,44°17′56″N,06°58′51″E,I/A-02.I-C,Cuneo,IT,
640,Pic du Béal Traversier (it),2910,550,44°45′25″N,06°41′22″E,I/A-04.II-B,Hautes-Alpes,FR,
641,Aiguille de Cédéra,2909,458,44°44′19″N,06°17′05″E,I/A-05.III-C,Hautes-Alpes,FR,
642,Grande Séolane (fr),2909,385,44°20′16″N,06°32′47″E,I/A-03.1-A,A-d-H-Provence,FR,
643,Puy Gris,2908,379,45°17′45″N,06°08′46″E,I/A-05.II-A,Savoy,FR,
644,Pizzo Diei,2906,623,46°15′53″N,08°14′17″E,I/B-10.I-A,V-C-O,IT,
645,Signal du Lauvitel E,2904,306,44°56′20″N,06°02′51″E,I/A-05.III-E,Isère,FR,
646,Pic de Peyre Eyraute,2903,400,44°49′22″N,06°37′50″E,I/A-04.II-B,Hautes-Alpes,FR,
647,Piz Combul,2901,313,46°13′47″N,10°02′38″E,II/A-15.III-A,Graub./Sondrio,CH/IT,
648,Grand Chavalard,2899,446,46°10′43″N,07°06′47″E,I/B-12.III-A,Valais,CH,
649,Becca di Nona / Pic de Nona,2898,374,45°50′23″N,07°24′58″E,I/B-09.II-B,Aosta Valley,IT,1832
649,Le Pouzenc (fr),2898,374,44°27′33″N,06°31′01″E,I/A-04.I-B,A-d-H-Provence,FR,
651,Monte Frisozzo,2897,609,46°01′28″N,10°26′57″E,II/C-28.III-A,Brescia,IT,1854
652,Holzgauer Wetterspitze,2895,592,47°12′23″N,10°22′10″E,II/B-21.I-A,North Tyrol,AT,1832
653,Reinhart,2891,318,47°02′32″N,12°10′47″E,II/A-17.II-A,South Tyrol,IT,1893
654,Regenstein,2891,316,46°51′38″N,12°29′26″E,II/A-17.III-B,East Tyrol,AT,
655,Monte Orsiera,2890,859,45°03′50″N,07°06′26″E,I/A-04.II-A,Turin,IT,
656,Schwarzhorn / Piz Gren,2890,355,46°40′39″N,09°01′22″E,I/B-10.III-A,Graubünden,CH,
657,Monte Re di Castello,2889,312,46°01′18″N,10°29′00″E,II/C-28.III-A,Brescia/Trentino,IT,1854
658,Vorderseespitze,2889,310,47°11′05″N,10°22′01″E,II/B-21.I-A,North Tyrol,AT,1855
659,Napfspitze,2888,343,46°56′13″N,11°44′22″E,II/A-17.I-C,South Tyrol,IT,
660,Schildflue,2887,333,46°52′50″N,09°57′23″E,II/A-15.VI-A,Graubünden,CH,
661,Wissigstock,2887,329,46°50′44″N,08°30′24″E,I/B-12.I-B,Obwalden/Uri,CH,
662,Lizumer Reckner,2886,548,47°08′38″N,11°37′51″E,II/B-23.I-A,North Tyrol,AT,
663,Guggernüll,2886,377,46°31′26″N,09°16′17″E,I/B-10.III-D,Graubünden,CH,
664,Le Chevalier,2886,373,44°19′50″N,06°45′33″E,I/A-02.I-C,Alpes Maritimes,FR,
664,Pizzo Recastello,2886,373,46°03′25″N,10°04′32″E,II/C-29.I-A,Bergamo,IT,1876
666,Rietzer Grießkogel,2884,867,47°14′45″N,11°03′34″E,II/A-16.II-B,North Tyrol,AT,1829
667,Monteaviolo,2881,561,46°11′07″N,10°23′55″E,II/C-28.III-A,Brescia,IT,
668,Pointe de la Terrasse,2881,405,45°40′15″N,06°43′29″E,I/B-07.VI-A,Savoy,FR,
669,Piz Fess,2880,501,46°43′39″N,09°17′19″E,I/B-10.III-C,Graubünden,CH,1895
670,Cima della Sasse (it)[Note 7],2878,402,46°21′25″N,12°03′52″E,II/C-31.II-A,Belluno,IT,
670,Moiazza Sud (it)[Note 7],2878,402,46°20′18″N,12°03′29″E,II/C-31.II-A,Belluno,IT,1895
672,Pointe de Cloutzau,2878,329,45°00′26″N,06°44′51″E,I/A-04.III-A,H-Alpes/Turin,FR/IT,
673,Peitlerkofel / Sas de Pütia,2875,638,46°39′32″N,11°49′12″E,II/C-31.III-A,South Tyrol,IT,1885
674,Eisentälispitze,2875,386,46°54′48″N,09°57′45″E,II/A-15.VI-A,Vorarlb/Graub.,AT/CH,1892
675,Schwalbenkofel,2873,328,46°39′08″N,12°16′13″E,II/C-31.I-A,South Tyrol,IT,
676,Monte Carbonè,2873,309,44°09′37″N,07°25′50″E,I/A-02.I-A,Cuneo,IT,
677,Monte Agnèr,2872,542,46°16′35″N,11°57′10″E,II/C-31.IV-A,Belluno,IT,1875
678,Mont Bégo,2872,323,44°04′26″N,07°27′03″E,I/A-02.I-A,Alpes Maritimes,FR,
679,Tête des Vieux [Note 8],2872,302,45°45′32″N,06°56′06″E,I/B-07.III-B,Aosta Valley,IT,
680,Grand Aréa (fr),2869,442,44°58′48″N,06°34′24″E,I/A-04.III-A,Hautes-Alpes,FR,
681,Kolbenspitze,2868,367,46°46′22″N,11°08′52″E,II/A-16.I-B,South Tyrol,IT,
682,Punta Cornour (it),2867,417,44°51′02″N,07°05′35″E,I/A-04.II-A,Turin,IT,1836
683,Tête de Gaulent,2867,350,44°43′08″N,06°31′32″E,I/A-05.III-C,Hautes-Alpes,FR,
684,Nufenenstock,2866,381,46°28′01″N,08°23′18″E,I/B-10.I-A,Ticino/Valais,CH,
685,Rocher de Plassa,2865,409,45°22′23″N,06°41′21″E,I/B-07.II-E,Savoy,FR,
686,Triglav,2864,2048,46°22′41″N,13°50′13″E,II/C-34.I-E,West Slovenia,SI,1778
687,Pala di Meduce,2864,304,46°30′07″N,12°17′51″E,II/C-31.I-E,Belluno,IT,1890
688,Poncione di Braga,2864,301,46°26′03″N,08°32′34″E,I/B-10.II-A,Ticino,CH,
689,Wandfluhhorn / Pizzo Biela,2863,452,46°20′41″N,08°27′51″E,I/B-10.II-A,Ticino/V-C-O,CH/IT,
690,Hochgolling,2862,1124,47°15′58″N,13°45′40″E,II/A-18.II-A,Salzburg/Styria,AT,1791
691,Cima de Barna,2862,314,46°25′14″N,09°15′49″E,I/B-10.III-D,Graub./Sondrio,CH/IT,
692,Le Taillefer,2857,1490,45°02′23″N,05°55′28″E,I/A-05.IV-A,Isère,FR,
693,Gstellihorn,2855,366,46°39′44″N,08°10′29″E,I/B-12.III-A,Bern,CH,1836
694,Piz di Sassiglion,2855,313,46°19′22″N,10°06′45″E,II/A-15.IV-B,Graub./Sondrio,CH/IT,
695,Petite Séolane,2854,317,44°21′27″N,06°31′48″E,I/A-03.1-A,A-d-H-Provence,FR,
696,Cima Ciantiplagna (it),2849,673,45°04′20″N,07°00′48″E,I/A-04.II-A,Turin,IT,
697,Croda Granda (it),2849,492,46°14′55″N,11°55′43″E,II/C-31.IV-A,Belluno,IT,1883
698,Cima d'Asta,2847,939,46°10′36″N,11°36′19″E,II/C-31.V-B,Trentino,IT,1816
699,Punta Nera,2847,431,46°30′59″N,12°11′30″E,II/C-31.I-D,Belluno,IT,1876
700,Cima del Desenigo,2845,369,46°12′06″N,09°33′42″E,II/A-15.III-B,Sondrio,IT,
701,Pizol,2844,457,46°57′33″N,09°23′12″E,I/B-13.II-A,St. Gallen,CH,1864
702,Sommet du Charra,2844,363,45°01′17″N,06°42′37″E,I/A-04.III-A,H-Alpes/Turin,FR/IT,
703,Weissfluh,2843,497,46°50′06″N,09°47′43″E,II/A-15.VII-A,Graubünden,CH,
704,Pic de Beaudouis,2843,366,44°50′11″N,06°41′40″E,I/A-04.II-B,Hautes-Alpes,FR,
705,Schneekarkopf,2843,307,47°08′28″N,12°02′08″E,II/A-17.I-D,North Tyrol,AT,
706,Latemar (Diamantiditurm),2842,1097,46°22′52″N,11°34′31″E,II/C-31.V-A,S-Tyrol/Trentino,IT,1885
707,Cima di Gana Bianca,2842,410,46°28′17″N,08°59′32″E,I/B-10.III-B,Ticino,CH,
708,Kirchdachspitze,2840,470,47°04′02″N,11°20′31″E,II/A-16.II-A,North Tyrol,AT,
709,Dürrenstein,2839,880,46°40′21″N,12°11′07″E,II/C-31.I-B,South Tyrol,IT,
710,Cima Cadin di San Lucano,2839,663,46°34′39″N,12°17′17″E,II/C-31.I-A,Belluno,IT,
711,Grand Cheval de Bois (fr),2838,424,44°17′33″N,06°38′02″E,I/A-02.I-E,A-d-H-Provence,FR,
712,Kärlskopf,2836,631,46°53′19″N,12°14′10″E,II/A-17.III-B,E-Tyrol/S-Tyrol,AT/IT,
713,Tête du Clotonnet,2835,335,44°50′34″N,06°06′04″E,I/A-05.III-D,Isère/H-Alpes,FR,
714,Gamskarlspitz,2833,374,47°02′13″N,13°09′45″E,II/A-17.II-F,Carinth/Salzburg,AT,
715,Cheval Noir,2832,507,45°25′19″N,06°24′50″E,I/B-07.II-E,Savoy,FR,
716,Rocca la Meja,2831,437,44°23′54″N,07°04′08″E,I/A-04.I-A,Cuneo,IT,
717,Drei Türme / Drusentürme,2830,628,47°01′29″N,09°48′36″E,II/A-15.VIII-A,Vorarlberg,AT,
718,Grand Pic de la Lauzière,2829,836,45°27′33″N,06°22′00″E,I/B-07.II-F,Savoy,FR,
719,Pirchkogel,2828,300,47°13′55″N,10°59′57″E,II/A-16.II-B,North Tyrol,AT,
720,Große Schlenkerspitze,2827,445,47°14′56″N,10°36′55″E,II/B-21.I-A,North Tyrol,AT,1882
721,Graunock,2827,419,46°53′10″N,11°47′20″E,II/A-17.I-B,South Tyrol,IT,
722,Cime de Bolofré,2827,308,44°13′23″N,06°50′07″E,I/A-02.I-D,Alpes Maritimes,FR,
723,Madrisahorn,2826,600,46°55′52″N,09°52′20″E,II/A-15.VIII-A,Graubünden,CH,
724,Kalkwand,2826,342,47°09′14″N,11°39′42″E,II/B-23.I-B,North Tyrol,AT,
725,Grand Perron des Encombres,2824,442,45°17′52″N,06°27′01″E,I/B-07.II-E,Savoy,FR,
726,Tête de l'Hivernet,2824,330,44°37′12″N,06°27′11″E,I/A-05.III-C,Hautes-Alpes,FR,
727,Hoher Herd,2824,313,47°11′58″N,12°27′00″E,II/A-17.II-A,Salzburg,AT,
728,Hochmaderer,2823,318,46°55′43″N,10°01′43″E,II/A-15.VI-A,Vorarlberg,AT,1853
729,Le Bellachat,2822,351,45°22′47″N,06°23′49″E,I/B-07.II-E,Savoy,FR,
730,Monfandì (it),2820,405,45°31′19″N,07°37′10″E,I/B-07.IV-B,Turin,IT,
731,Sulzfluh,2818,475,47°00′45″N,09°50′23″E,II/A-15.VIII-A,Vorarlb/Graub.,AT/CH,1782
